916,PTSN,Sat Nusapersada Tbk,
914,ACES,Ace Hardware Indonesia Tbk.,
912,WIKA,Wijaya Karya (Persero) Tbk.,
911,GPRA,Perdana Gapuraprima Tbk.,
910,BACA,Bank Capital Indonesia Tbk.,
908,DEWA,Darma Henwa Tbk,
896,LCGP,Eureka Prima Jakarta Tbk.,
893,PKPK,Perdana Karya Perkasa Tbk,
889,MCOR,Bank China Construction Bank Indonesia Tbk.,
885,MNCN,Media Nusantara Citra Tbk.,
882,SGRO,Sampoerna Agro Tbk.,
880,BKDP,Bukit Darmo Property Tbk,
875,WEHA,WEHA Transportasi Indonesia Tbk.,
874,BISI,BISI International Tbk.,
864,SDRA,Bank Woori Saudara Indonesia 1906 Tbk.,
857,FREN,Smartfren Telecom Tbk.,
852,CPRO,Central Proteina Prima Tbk.,
850,TRUB,Truba Alam Manunggal Engineering Tbk.,
848,IATA,Indonesia Transport & Infrastructure Tbk.,
847,TOTL,Total Bangun Persada Tbk.,
838,RUIS,Radiant Utama Interinsco Tbk.,
837,BBKP,Bank Bukopin Tbk.,
830,BNBA,Bank Bumi Arta Tbk.,
829,RAJA,Rukun Raharja Tbk.,
826,MAIN,Malindo Feedmill Tbk.,
824,BTEL,Bakrie Telecom Tbk.,
818,AMAG,Asuransi Multi Artha Guna Tbk.,
817,MICE,Multi Indocitra Tbk.,
814,EXCL,XL Axiata Tbk.,
810,MFIN,Mandala Multifinance Tbk.,
806,RELI,Reliance Securities Tbk,
801,PEGE,Panca Global Securities Tbk.,
800,APOL,Arpeni Pratama Ocean Line Tbk.,
799,MASA,Multistrada Arah Sarana Tbk.,
791,WOMF,Wahana Ottomitra Multiartha Tbk.,
790,YULE,Yulie Sekurindo Tbk,
788,MAPI,Mitra Adiperkasa Tbk.,
786,AKKU,Anugerah Kagum Karya Utama Tbk.,
779,SQMI,Renuka Coalindo Tbk.,
776,PJAA,Pembangunan Jaya Ancol Tbk.,
771,ENRG,Energi Mega Persada Tbk.,
767,BTEK,Bumi Teknokultura Unggul Tbk,
766,HADE,HD Capital Tbk,
765,ADMF,Adira Dinamika Multi Finance Tbk.,
763,ADHI,Adhi Karya (Persero) Tbk.,
760,ASJT,Asuransi Jasa Tania Tbk.,
757,PGAS,Perusahaan Gas Negara (Persero) Tbk.,
755,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,
747,BMRI,Bank Mandiri (Persero) Tbk.,
746,TMAS,Pelayaran Tempuran Emas Tbk.,
742,ARTI,Ratu Prabu Energi Tbk,
734,PTBA,Tambang Batubara Bukit Asam (Persero) Tbk.,
732,APIC,Pacific Strategic Financial Tbk.,
730,TRUS,Trust Finance Indonesia Tbk,
727,BKSW,Bank QNB Indonesia Tbk.,
726,ARTA,Arthavest Tbk,
721,IIKP,Inti Agri Resources Tbk,
718,GEMA,Gema Grahasarana Tbk.,
714,SCMA,Surya Citra Media Tbk.,
713,BABP,Bank MNC Internasional Tbk.,
707,KREN,Kresna Graha Investama Tbk.,
705,SUGI,Sugih Energy Tbk.,
702,BSWD,Bank Of India Indonesia Tbk.,
700,UNIT,Nusantara Inti Corpora Tbk,
699,ATPK,Bara Jaya Internasional Tbk.,
697,JTPE,Jasuindo Tiga Perkasa Tbk.,
688,ABBA,Mahaka Media Tbk.,
687,FPNI,Lotte Chemical Titan Tbk.,
685,CITA,Cita Mineral Investindo Tbk.,
681,FISH,FKS Multi Agro Tbk.,
679,FORU,Fortune Indonesia Tbk,
676,LMAS,Limas Indonesia Makmur Tbk,
671,CLPI,Colorpak Indonesia Tbk.,
669,ITTG,Leo Investments Tbk.,
667,CNKO,Exploitasi Energi Indonesia Tbk.,
663,CENT,Centratama Telekomunikasi Indonesia Tbk.,
661,RODA,Pikko Land Development Tbk.,
657,PYFA,Pyridam Farma Tbk,
656,PANR,Panorama Sentrawisata Tbk.,
651,AIMS,Akbar Indo Makmur Stimec Tbk,
645,META,Nusantara Infrastructure Tbk.,
643,LAMI,Lamicitra Nusantara Tbk.,
642,BTON,Betonjaya Manunggal Tbk.,
641,ARNA,Arwana Citramulia Tbk.,
639,LAPD,Leyand International Tbk.,
638,AKSI,Majapahit Inti Corpora Tbk.,
636,BEKS,Bank Pembangunan Daerah Banten Tbk.,
635,DEFI,Danasupra Erapacific Tbk,
634,KAEF,Kimia Farma Tbk.,
632,WAPO,Wahana Pronatural Tbk.,
630,DOID,Delta Dunia Makmur Tbk.,
628,BCAP,MNC Kapital Indonesia Tbk.,
626,INDX,Tanah Laut Tbk,
618,SQBB,Taisho Pharmaceutical Indonesia Tbk.,
617,INAF,Indofarma Tbk.,
613,PLAS,Polaris Investama Tbk,
606,BBNP,Bank Nusantara Parahyangan Tbk.,
600,TMPO,Tempo Intimedia Tbk.,
599,CNTB,Saham Seri B ( Centex Tbk ),
597,DNET,Indoritel Makmur Internasional Tbk.,
596,GMTD,Gowa Makassar Tourism Development Tbk.,
592,RIMO,Rimo International Lestari Tbk,
590,MYRXP,Saham Seri B Hanson International Tbk.,
567,FMII,Fortune Mate Indonesia Tbk,
562,PANS,Panin Sekuritas Tbk.,
561,BBCA,Bank Central Asia Tbk.,
559,APLI,Asiaplast Industries Tbk.,
558,MAMIP,Mas Murni Tbk (Saham Preferen),
557,MEGA,Bank Mega Tbk.,
555,KPIG,MNC Land Tbk.,
551,DSFI,Dharma Samudera Fishing Industries Tbk.,
548,TBLA,Tunas Baru Lampung Tbk.,
546,TRIM,Trimegah Sekuritas Indonesia Tbk.,
544,BMSR,Bintang Mitra Semestaraya Tbk,
541,TIRT,Tirta Mahakam Resources Tbk,
514,SMDR,Samudera Indonesia  Tbk.,
509,BVIC,Bank Victoria International Tbk.,
505,CKRA,Cakra Mineral Tbk.,
476,AUTO,Astra Otoparts Tbk.,
470,RICY,Ricky Putra Globalindo Tbk,
464,JSPT,Jakarta Setiabudi Internasional Tbk.,
451,RBMS,Ristia Bintang Mahkotasejati Tbk.,
450,HITS,Humpuss Intermoda Transportasi Tbk.,
449,AALI,Astra Agro Lestari Tbk.,
448,ANTM,Aneka Tambang (Persero) Tbk.,
446,BHIT,MNC Investama Tbk.,
436,MAYA,Bank Mayapada Internasional Tbk.,
435,SSTM,Sunson Textile Manufacture Tbk,
434,JKSW,Jakarta Kyoei Steel Works Tbk.,
432,BKSL,Sentul City Tbk.,
431,LPCK,Lippo Cikarang Tbk,
429,LPGI,Lippo General Insurance Tbk.,
428,LTLS,Lautan Luas Tbk.,
423,MITI,Mitra Investindo Tbk.,
411,BCIC,Bank JTrust Indonesia Tbk.,
410,AISA,Tiga Pilar Sejahtera Food Tbk.,
406,IKAI,Intikeramik Alamasri Industri Tbk.,
405,ETWA,Eterindo Wahanatama Tbk,
399,SSIA,Surya Semesta Internusa Tbk.,
391,MIRA,Mitra International Resources Tbk.,
381,ALMI,Alumindo Light Metal Industry Tbk.,
380,SIPD,Sierad Produce Tbk.,
376,STTP,Siantar Top Tbk.,
369,BBNI,Bank Negara Indonesia (Persero) Tbk.,
360,PICO,Pelangi Indah Canindo Tbk,
359,SMSM,Selamat Sempurna Tbk.,
357,KDSI,Kedawung Setia Industrial Tbk.,
355,RALS,Ramayana Lestari Sentosa Tbk.,
345,CEKA,Wilmar Cahaya Indonesia Tbk.,
344,LSIP,PP London Sumatra Indonesia Tbk.,
343,CTTH,Citatah Tbk.,
341,LPKR,Lippo Karawaci Tbk.,
311,TLKM,Telekomunikasi Indonesia (Persero) Tbk.,
310,AMFG,Asahimas Flat Glass Tbk.,
307,ELTY,Bakrieland Development Tbk.,
305,BIPP,Bhuwanatala Indah Permai Tbk.,
304,TINS,Timah (Persero) Tbk.,
302,SMDM,Suryamas Dutamakmur Tbk.,
301,KONI,Perdana Bangun Pusaka Tbk,
297,MRAT,Mustika Ratu Tbk.,
292,BMTR,Global Mediacom Tbk.,
286,SMMA,Sinarmas Multiartha Tbk.,
278,TURI,Tunas Ridean Tbk.,
277,BUDI,Budi Starch & Sweetener Tbk.,
